#OTU ID	mgm4454167	mgm4454183	mgm4623131	mgm4623132	mgm4623133	mgm4685222	mgm4685223	mgm4685224
Candidatus.Ratteibacteria	0.0	0.0	9.6002826323207e-07	3.72521752476431e-06	4.82474306387514e-06	1.06343691208857e-05	7.68470180795418e-06	3.59234973201071e-06
Candidatus.Dadabacteria	0.0	0.0	4.0801201187363e-06	7.82295680200506e-06	1.1505156536933e-05	2.17521186563571e-06	1.70771151287871e-06	0.0
Candidatus.Firestonebacteria	0.0	0.0	1.70405016723692e-05	3.5389566485261e-05	3.56288718563088e-05	7.49239642607857e-06	5.97699029507547e-06	4.78979964268095e-06
Candidatus.Raymondbacteria	0.0	1.1748948469112e-05	1.12803320929768e-05	2.12337398911566e-05	2.41237153193757e-05	3.3836629021e-06	5.12313453863612e-06	1.19744991067024e-06
Candidatus.Riflebacteria	0.0	1.1748948469112e-05	3.36009892131224e-06	1.11756525742929e-05	6.30927939122134e-06	1.93352165834286e-06	4.26927878219677e-06	1.19744991067024e-06
Candidatus.Wallbacteria	0.0	0.0	2.40007065808017e-07	3.72521752476431e-07	2.9690726546924e-06	1.45014124375714e-06	8.53855756439353e-07	1.19744991067024e-06
candidate.division.CPR1	0.0	0.0	8.16024023747259e-06	1.04306090693401e-05	2.59793857285585e-06	1.93352165834286e-06	8.53855756439353e-07	1.19744991067024e-06
Candidatus.Coatesbacteria	0.0	1.1748948469112e-05	2.40007065808017e-07	7.45043504952863e-07	1.85567040918275e-06	0.0	2.56156726931806e-06	0.0
Candidatus.Bipolaricaulota	0.0	0.0	4.80014131616035e-07	2.98017401981145e-06	1.11340224550965e-06	7.25070621878571e-07	8.53855756439353e-07	0.0
Candidatus.Blackallbacteria	0.0	8.22426392837841e-05	8.01623599798778e-05	1.67634788614394e-05	1.63298996008082e-05	7.25070621878571e-06	6.83084605151483e-06	1.07770491960321e-05
candidate.division.CPR2	0.0	0.0	1.08003179613608e-05	3.24093924654495e-05	4.49072239022225e-05	7.25070621878571e-06	8.53855756439353e-06	8.38214937469166e-06
Candidatus.Fraserbacteria	0.0	0.0	7.20021197424052e-07	0.0	3.7113408183655e-07	0.0	0.0	0.0
Candidatus.Fischerbacteria	0.0	1.1748948469112e-05	1.68004946065612e-06	7.0779132970522e-06	8.53608388224064e-06	1.45014124375714e-06	5.97699029507547e-06	2.39489982134047e-06
Candidatus.Sumerlaeota	0.0	0.0	0.0	1.86260876238216e-06	7.42268163673099e-07	0.0	0.0	0.0
candidate.division.WOR.3	0.0	0.0	7.68022610585656e-06	1.41558265941044e-05	4.45360898203859e-06	9.66760829171428e-07	1.70771151287871e-06	1.19744991067024e-06
Candidatus.Wirthbacteria	0.0	1.1748948469112e-05	2.40007065808017e-07	3.72521752476431e-07	7.42268163673099e-07	2.41690207292857e-07	0.0	0.0
Candidatus.Abawacabacteria	0.0002942907592701	0.000105740536222	9.6002826323207e-07	1.49008700990573e-06	1.85567040918275e-06	2.41690207292857e-06	0.0	2.39489982134047e-06
Candidatus.Absconditabacteria	0.0	0.0	5.5201625135844e-06	8.94052205943436e-06	8.16494980040409e-06	1.23262005719357e-05	3.41542302575741e-06	4.78979964268095e-06
candidate.division.CPR3	0.0	1.1748948469112e-05	1.92005652646414e-06	4.09773927724075e-06	4.08247490020205e-06	4.83380414585714e-07	0.0	1.19744991067024e-06
Candidatus.Delongbacteria	0.0	1.1748948469112e-05	1.3920409816865e-05	5.10354800892711e-05	5.34433077844631e-05	7.25070621878571e-07	4.26927878219677e-06	2.39489982134047e-06
Candidatus.Calescamantes	0.0	0.0	1.4400423948481e-06	2.23513051485859e-06	5.19587714571169e-06	0.0	8.53855756439353e-07	0.0
Planctomycetota	0.0058858151854031	0.0095401461569189	0.0008013835927329	0.0017568125846788	0.001505319835929	0.0025711004251814	0.0032600212780854	0.0038509989127154
Candidatus.Omnitrophica	0.0	0.0003877152994806	0.0001742451297766	0.0004045586231894	0.0004323712053395	7.56490348826642e-05	0.0001033165465291	8.38214937469166e-05
Verrucomicrobiota	0.0	0.000634443217332	0.0001070431513503	0.000212709920664	0.0002137732311378	0.0004674288609043	0.000470474521798	0.0004670054651613
Lentisphaerota	0.0	0.0001409873816293	0.0001692049813946	0.000300252532496	0.000238268080539	0.0001005431262338	9.9047267746965e-05	0.0001149551914243
Chlamydiota	0.0	0.000105740536222	0.0001382440699054	0.0001922212242778	0.0002067216835829	7.56490348826642e-05	7.68470180795418e-05	7.0649544729544e-05
