#OTU ID	mgm4575366	mgm4575367	mgm4575368	mgm4575369	mgm4575370	mgm4575371	mgm4575372	mgm4575373	mgm4575374	mgm4575375	mgm4575376	mgm4575377	mgm4575355	mgm4575356	mgm4575357	mgm4575358	mgm4575359	mgm4575360	mgm4575361	mgm4575362	mgm4575363	mgm4575364	mgm4575365	mgm4726046	mgm4726047	mgm4569549	mgm4569551	mgm4569550
Candidatus Delongbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.00272370423776e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19472799986046e-07	0.0
Candidatus Calescamantes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09829763866008e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.97363999930228e-08	0.0
Planctomycetota	0.0014565677966101	0.0009348691898595	0.0012383497360359	0.0008594843094143	0.0007791850640917	0.0008544163337771	0.0007967764700525	0.0008259343382201	0.0005939980122798	0.000974293637113	0.0005757881099755	0.0005381614099828	0.0138326038796131	0.0144645799011532	0.008500772797527	0.009478275457138	0.0081110310021629	0.0132363314476978	0.0153222031518178	0.0147292780151225	0.0103571929402809	0.008695652173913	0.0096791713543081	0.0005258119750306	0.0004194513576242	0.0001433667091032	0.0016535632882068	0.0011163353867872
Candidatus Omnitrophica	6.62076271186441e-05	5.24671484104839e-05	0.0001303526037932	5.19688187087747e-05	7.63906925580187e-05	6.6577896138482e-05	6.82951260045075e-05	0.000206483584555	6.66436794265167e-05	0.0	0.0	1.92200503565319e-05	0.0009185713513805	0.000768808347062	0.0	0.0005871498070793	0.0005006809260594	0.0006777222998298	0.0009361834919644	0.0007686395080707	0.0005208646352945	8.2815734989648e-05	0.0005625169724948	5.39294333364792e-05	0.0	9.1754693826056e-06	0.0002106305463753	0.000450359497434
Verrucomicrobiota	0.0001986228813559	0.0002575660012878	0.0003258815094831	0.0002678392964221	0.0001833376621392	0.0002052818464269	0.0001138252100075	0.00041296716911	0.0001593653203677	0.0003747283219665	0.0001679381987428	0.0002114205539218	0.003512184578808	0.0042174629324547	0.0015455950540958	0.0030196275792652	0.0036049026676279	0.0032503008257147	0.0044312685286316	0.0039683249021325	0.0023438908588256	0.0021532091097308	0.0029289676843697	0.0002561648083482	0.0001957439668913	3.09672091662939e-05	0.000950286651089	0.000225044098266
Lentisphaerota	0.0001324152542372	9.06250745271994e-05	0.0001955289056898	4.39736158305017e-05	1.52781385116037e-05	4.43852640923214e-05	2.27650420015025e-05	0.00041296716911	6.95412307059304e-05	0.0	4.79823424979607e-05	0.0	0.0007024369157616	0.000494233937397	0.0	0.0004193927193423	0.0002403268445085	0.0003181145488997	0.0004056795131845	0.0005720107967037	0.0003806318488691	0.0004968944099378	0.0003879427396516	8.08941500047188e-05	2.79634238416152e-05	4.5877346913028e-06	5.81235171932112e-05	3.66256217792768e-05
Chlamydiota	6.62076271186441e-05	9.53948152917889e-06	0.0	3.19808115130921e-05	1.52781385116037e-05	1.10963160230803e-05	2.27650420015025e-05	0.000206483584555	2.31804102353101e-05	0.0	2.39911712489804e-05	3.84401007130639e-05	0.0002161344356189	0.0001208127402526	0.0	0.0	0.0002803813185932	0.0001659728081216	0.0002808550475893	0.0001251273617789	0.0002403990624436	0.0001656314699792	9.69856849129069e-05	0.0	0.0	6.8816020369542e-06	5.86611447931484e-05	1.18694144655064e-05
Kiritimatiellota	6.62076271186441e-05	4.2927666881305e-05	0.0	1.19928043174096e-05	3.05562770232075e-05	1.10963160230803e-05	0.0	0.0	2.31804102353101e-05	0.0	2.39911712489804e-05	5.76601510695958e-05	0.0004322688712379	8.78638110928062e-05	0.0	0.0001677570877369	6.00817111271329e-05	6.91553367173345e-05	0.0001872366983928	0.0001251273617789	6.00997656109141e-05	0.0	0.000135779958878	0.0	0.0	3.4408010184771e-06	7.46704999912785e-06	6.10427029654613e-07
Thermodesulfobacteriota	0.0012579449152542	0.000720230855453	0.0003258815094831	0.0004837097741355	0.0003972316013016	0.0005492676431424	0.0002048853780135	0.000619450753665	0.000518661679015	0.0003747283219665	0.0002159205412408	0.0002690807049914	0.0063759658507591	0.0058099945085118	0.0007727975270479	0.0046133199127663	0.0039453656973483	0.0042737998091312	0.0062256202215634	0.0055592299304649	0.0034256866398221	0.0039751552795031	0.003937618807464	0.0009437650833883	0.0006151953245155	0.0002030072600901	0.0013400069246434	0.0022024207229938
Nitrospirota	0.0001324152542372	0.0001144737783501	0.0001303526037932	7.19568259044573e-05	7.63906925580187e-05	8.87705281846427e-05	6.82951260045075e-05	0.0	8.6926538382413e-05	0.0	7.19735137469411e-05	1.92200503565319e-05	0.0073485708110444	0.0074574409665019	0.0023183925811437	0.0040261701056869	0.0033846030601618	0.004384448347879	0.0090029645810578	0.0074718910319432	0.0014624276298655	0.0016563146997929	0.00120262249292	0.0004314354666918	0.0003914879337826	5.84936173141107e-05	0.0006321903211261	0.0004902407300381
